,heading,text,bias_rating
10561,"North Korea Threatens To ‘Reconsider’ Trump Summit, Cancels South Korea Talks","Pyongyang condemned recent joint military exercises conducted by the United States and South Korea, calling the drills an “intentional provocation.”",left
6788,Ukraine Investigates Reports of Surveillance of Marie Yovanovitch,"Newly released documents suggest that Ms. Yovanovitch was being watched in Kyiv while she was the U.S. ambassador there.
The police in Ukraine have opened a criminal investigation into whether allies of President Trump had the United States ambassador to the country under surveillance while she was stationed in Kyiv, the Ukrainian government said on Thursday.
Democrats in the House of Representative on Tuesday revealed text messages to and from Lev Parnas — an associate of Rudolph W. Giuliani, the president’s personal lawyer — pointing to surveillance of the ambassador,...",left
18065,Hope Hicks to Leave Post as White House Communications Director,"Hope Hicks, President Trump’s communications director and one of his longest-serving advisers, said Wednesday that she planned to leave the White House in the next few weeks.",left
6587,"Where 9/11 once united, it now divides","The days following the September 11, 2001, attacks were marked by political solidarity over confronting America's enemies. No longer.
As the 15th anniversary of the horrific attacks approaches Sunday, the political world is bitterly divided on how to address terrorism and national security.",left
6568,"US struggles to speed Kabul airlift despite Taliban, chaos","The United States is struggling to pick up the pace of American and Afghan evacuations at Kabul airport, constrained by obstacles ranging from armed Taliban checkpoints to paperwork problems. With an Aug. 31 deadline looming, tens of thousands remained to be airlifted from the chaotic country.
Taliban fighters and their checkpoints ringed the airport — major barriers for Afghans who fear that their past work with Westerners makes them prime targets for retribution. Hundreds of Afghans who lacked any papers or clearance for evacuation also congregated outside the airport, adding to...",left
15669,Census To Miss Year-End Deadline For Delivering Numbers For House Seats,"Saddled with delays caused by the coronavirus pandemic and last-minute changes by the Trump administration, the first set of 2020 census results will not be ready for release by Thursday's year-end deadline for numbers that determine representation in Congress and the Electoral College for the next decade.
A Census Bureau employee, who spoke on the condition of anonymity for fear of retaliation in the workplace, confirmed to NPR that the bureau is still trying to fix irregularities uncovered in this year's census records.
The employee told NPR that career officials...",left
14398,John Kerry: No Decision Yet On Seeking UN Vote Over Syria Strike,"U.S. Secretary of State John Kerry said on Sunday the United States did not rule out the possibility of returning to the United Nations Security Council to secure a resolution on Syria once U.N. inspectors complete their report.
Speaking at a news conference in Paris with his Qatari counterpart Khaled al-Attiya, Kerry said President Barack Obama had yet to make a decision on the issue.",left
9098,White House on Clinton's Grammy cameo: Don't take it seriously,"White House spokesman Raj Shah on Monday panned Hillary Clinton’s cameo appearance during Sunday night’s Grammy awards, telling Fox News that award show criticism directed at President Donald Trump ought to be dismissed as the complaints of out of touch liberals.",left
9431,2 accused of voter registration fraud in Los Angeles County,"A man seeking to run for mayor of a Southern California suburb and a co-defendant allegedly submitted 8,000 fraudulent voter registration applications on behalf of homeless people, the Los Angeles County District Attorney’s Office said Tuesday.
Overt acts listed in the criminal complaint did not indicate any fraudulent ballots were cast, and a press release did not specify how the homeless were involved. In an email response to queries, the prosecutor’s office declined to comment.
Carlos Antonio De Bourbon Montenegro, 53, and Marcos Raul Arevalo, 34, each pleaded not guilty...",left
20015,"With Jeb Bush’s Backing, Ted Cruz Makes Push to Stop Donald Trump","In the wake of the results of the contests in Arizona and Utah, the dual-track primaries move forward to the next big test, Wisconsin, on April 5. But in the Republican battle, Senator Ted Cruz of Texas is spending time on Donald J. Trump’s turf for a second day in a row, as he tries to galvanize support in the establishment behind his candidacy.
Mr. Cruz’s day began with an announcement of support from Jeb Bush, the former governor of Florida who was the only candidate to spend extensive time...",left
1269,Georgia's Governor Issues Order Rescinding Local Mask Mandates,"Georgia Gov. Brian Kemp is overruling local government mandates requiring people to wear masks in public to stop the spread of COVID-19, insisting that the state's less-stringent guidelines take precedence.
Kemp on Wednesday extended the state's COVID-19 restrictions, which strongly encourage the wearing of masks, but stopped short of requiring them in public, calling such a measure ""a bridge too far.""
His order explicitly rescinds mask orders in such key cities as Atlanta, Savannah, Athens and Augusta, along with more than a dozen other local jurisdictions where similar directives have...",left
9080,Commentators: Who won the Democratic debate,"Democratic candidates for president took part in their party's fifth debate on Wednesday night in Atlanta and CNN commentators weighed in. The opinions expressed in these commentaries are those of the authors.
Paul Begala: Buttigieg was the winner
After spending all day watching Republican congressmen (and one Republican congresswoman) during the impeachment hearings mindlessly denying the Everest of evidence of Donald Trump's alleged criminality, the Democratic debate was like a wake-up call from the real world.
Elizabeth Warren and Bernie Sanders stayed true to form, pushing Medicare for All and...",left
4633,Supreme Court hears arguments on restrictive Texas abortion law,"The Supreme Court on Monday is taking up two challenges to the nation's most restrictive abortion law: the Texas measure that has all but stopped abortions in the state.
The court's decision to consider the issue on an unusually accelerated schedule ramps up the drama over abortion, as the justices prepare to hear an even more consequential case a month from now. On Dec. 1, Mississippi will urge the court to overrule Roe v. Wade and declare that there is no constitutional right to abortion.
The cases Monday involve two challenges to the...",left
9866,E-therapy apps see booming business since coronavirus pandemic. I gave one a try.,"My new therapist seemed wise and compassionate, with her salt-and-pepper bob and sensible glasses. But given we’d never met, how could I know she wasn’t really some guy in a poodle suit, downing Tequila shots while chuckling away at my inner child’s expense?
After all, she (or he) was my texting therapist, hired with Tinder-like ease as I clicked on her photo online. Life is hard, and the psychiatrist who helped me through my tortured early 20s retired, so I figured I’d give it a try.
As it turns out,...",left
8052,Rice: We didn't intend to mislead on Benghazi,"Under fire from congressional critics, U.S. ambassador to the United Nations Susan Rice stressed in a Tuesday statement that she did not intend to mislead the public about the September 11th attacks on the Benghazi consulate.
""Neither I nor anyone else in the administration intended to mislead the American people at any stage in this process, and the administration updated Congress and the American people as our assessments evolved,"" Rice said.",left
1483,Trump's list of accusers grows,"In early August, Donald Trump suffered a drop in the polls in the wake of an especially bad week, which included him feuding with a Muslim Gold Star family whose son died fighting for the U.S. Army in Iraq. For the Record’s week in review summarized that week as “Trump hit rock bottom and then basically tried to dig to China.”",left
5737,Senate confirms Sessions as attorney general,"The Senate on Wednesday voted to install Sen. Jeff Sessions as the nation’s next attorney general, ending a confirmation battle that plunged the chamber into bitter acrimony and shattered all notions of senatorial courtesy.",left
6993,Amazon boosts minimum wage to $15 for all workers following criticism,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.",left
18029,U.S. to begin evacuation flights for eligible Afghans at end of July,"The Biden administration will begin offering evacuation flights to eligible Afghan citizens who aided the U.S. and its allies in the war at the end of the month, a senior White House official said Wednesday.
The official said the flights will be offered to people who are in the process of obtaining special immigrant visas, or SIVs, through the State Department, as well as their families.",left
3998,Why the media's Trump dossier coverage is suicidal,"The media is sinking to Donald Trump's level.
Reeling from their inability to stop his election, envious of his power to make people believe his most ridiculous statements, and rinsed by a needy mood for self-soothing, the media and other American institutions are greeting the era of Trump by lowering their ethical and professional standards and indulging in attention-seeking hysteria.",left
13988,"Clinton camp says it won't respond to Trump, while still shaming him","The Clinton campaign says it isn’t responding to Donald Trump’s personal attacks on Hillary Clinton from Monday night, but it still tried to shame the Republican poll leader for the remarks and encouraged others to stand with Clinton.",left
4422,Appeals court denies Trump request to immediately restore travel ban,"U.S.-bound migrants were seizing the opportunity to enter the United States on Sunday after a federal appeals court in San Francisco denied the Trump administration request for immediate reinstatement of a controversial, temporary travel ban.",left
6771,The Republican Party Is Attacking Democracy,"It turns out there was a coordinated attack on the 2020 election after all. It began several years ago and accelerated in the last several months. Now that Election Day has passed, it has launched into overdrive.
Its weapons are baseless insinuation and evidence-free charges, deployed solely to sow chaos and undermine the results of a free and fair election — one that produced a clear winner and an even clearer loser.
But the most dangerous attackers of American democracy aren’t the Russians or the Chinese. They are the leaders...",left
13850,"Florida shooting suspect bought gun legally, authorities say","The suspect in a Florida school shooting bought the AR-15-style rifle used in the attack legally a year ago, authorities said Thursday.",left
5379,Biden: 'The pandemic is over',"President Joe Biden said he believes the Covid-19 pandemic is ""over"" in an appearance on CBS' ""60 Minutes,"" but acknowledged the US still has a ""problem"" with the virus that has killed more than 1 million Americans.
""The pandemic is over. We still have a problem with Covid. We're still doing a lot of work on it. It's -- but the pandemic is over,"" Biden said.
The US government still designates Covid-19 a Public Health Emergency and the World Health Organization says it remains a Public Health Emergency of International Concern. But...",left
13971,"Trump’s communications with foreign leader are part of whistleblower complaint that spurred standoff between spy chief and Congress, former officials say","The whistleblower complaint that has triggered a tense showdown between the U.S. intelligence community and Congress involves President Trump’s communications with a foreign leader, according to two former U.S. officials familiar with the matter.
Trump’s interaction with the foreign leader included a “promise” that was regarded as so troubling that it prompted an official in the U.S. intelligence community to file a formal whistleblower complaint with the inspector general for the intelligence community, said the former officials, speaking on the condition of anonymity because they were not authorized to discuss...",left
13193,Obama endorses net neutrality,"President Obama came out strongly Monday for the concept of net neutrality, saying that ""an open Internet is essential to the American economy, and increasingly to our very way of life.""
In a written statement, Obama asked the Federal Communications Commission to ""create a new set of rules protecting net neutrality,"" and to ensure that phone and cable companies will not be able ""to act as a gatekeeper, restricting what you can do or see online.""
The FCC is nearing a decision.
Net neutrality supporters hailed the president's comments as...",left
19506,Senate Unanimously Approves A Bill To Make Juneteenth A Public Holiday,"The Senate unanimously approved a bill Tuesday that would make Juneteenth, the date commemorating the end of chattel slavery in the United States, a legal public holiday.
The holiday is celebrated on June 19, and it began in 1865 when enslaved people in Texas learned they had been freed under the Emancipation Proclamation.
President Abraham Lincoln had signed the proclamation outlawing slavery years earlier, but it was not until 1865 that those in bondage in Texas were freed.
The measure is expected to be approved by the Democratic-led House of Representatives as...",left
16050,Obama Tilts Tax Debate Away From Spending Cuts,President Obama surrounded himself with taxpayers on Wednesday to pitch his plan to preserve current rates for the middle class and raise them for the wealthy.,left
18005,John Boehner trashes conservative groups who force agenda,"John Boehner lashed out at ""false prophets"" in the right's ranks, blaming them for political strategies that ""never had a chance"" even while taking the government into fiscal crises.
""Absolutely, they're not realistic,"" the retiring House speaker said of hard-line conservatives and outside groups in a Sunday interview on CBS' ""Face the Nation.""
He pointed to the October 2013 shutdown after conservative House Republicans demanded the repeal of President Barack Obama's signature health care law as one maneuver -- led by Texas Sen. Ted Cruz -- that was never going...",left
8612,Gaza cease-fire takes hold ahead of talks with Israelis in Cairo,A three-day cease-fire that ended the round-the-clock carnage and terror in Gaza and southern Israel was holding Wednesday ahead of negotiations in Cairo on a longer-term truce and perhaps a broader deal for the ravaged Gaza Strip.,left
19397,Estimated 73% of US now immune to omicron: Is that enough?,"The omicron wave that assaulted the United States this winter also bolstered its defenses, leaving enough protection against the coronavirus that future spikes will likely require much less — if any — dramatic disruption to society.
Millions of individual Americans’ immune systems now recognize the virus and are primed to fight it off if they encounter omicron, or even another variant.
About half of eligible Americans have received booster shots, there have been nearly 80 million confirmed infections overall and many more infections have never been reported. One influential model...",left
10716,Why Earth Day’s creator might not celebrate Earth Day,"Soledad O’Brien, former CNN news anchor extraordinaire, was met with a puzzling situation last Saturday. She was co-hosting a massive Earth Day extravaganza on the National Mall. She was standing in front of a crowd she estimated at 250,000 people. She had a microphone. But she was talking and nobody was listening.",left
7464,Some Democrats walked out of the Senate Judiciary Committee meeting,At least five Democrats walked out of today's meeting after the Senate Judiciary Committee moved to vote later today on Brett Kavanaugh's Supreme Court nomination.,left
1517,Saturday's election results show Donald Trump can still be stopped,"For the first time in nearly a month, Donald Trump looks mortal again.
Four states held Republican primaries or caucuses on Saturday, but the GOP frontrunner came away with just two wins that were both quite narrow, in Louisiana and Kentucky. He lost the Maine caucuses — his first defeat in the Northeast — and got blown out in Kansas.",left
4229,Obama Authorizes Air Surveillance of ISIS in Syria,"President Obama has authorized surveillance flights over Syria, a precursor to potential airstrikes there, but a mounting concern for the White House is how to target the Sunni extremists without helping President Bashar al-Assad.",left
8618,Obama Touts Community College Value on Unfriendly Dakotas Turf,"President Barack Obama checked off his pledge to visit all 50 states while in office with a commencement address at a South Dakota community college that he called a model for preparing young Americans for the modern workforce.
“I believe that in a fast-paced, hyper-connected, constantly changing world, there are few institutions that are more important to America’s economic future than community colleges,” Obama told students at nationally-recognized Lake Area Technical Institute in Watertown, South Dakota. “We should have faith in people like you. We should invest in people like...",left
3557,How (and why) Benghazi is back,"The release of a new documents related to the 2012 embassy attack has unleashed a new torrent of outrage on the right about the Obama Administration's handling of the Sept. 2012 terrorist attack that left four Americans dead.
Conservatives say new e-mails prove that the White House deliberately portrayed the attacks as the result of spontaneous protests inspired by a video disparaging the prophet M",left
10656,"Edwards gets acquittal on one count, mistrial on others","Greensboro, North Carolina (CNN) -- Two-time Democratic presidential hopeful John Edwards took responsibility for ""my sins,"" including an affair that resulted in a ""precious"" daughter, after his federal corruption case ended in an acquittal and mistrial Thursday.",left
8987,Darren Wilson Is Cleared of Rights Violations in Ferguson Shooting,"Offering the most definitive account yet of the shooting of an unarmed black teenager that stirred racially charged protests across the country, the Justice Department has cleared a Ferguson, Mo., police officer of civil rights violations in the death last August of Michael Brown.
The decision, announced on Wednesday, ends a lengthy investigation into the shooting last August, in which the officer, Darren Wilson shot and killed Mr. Brown in the street as he tried to stop him for a possible theft. Several witnesses said Mr. Brown, 18, had his...",left
10917,"Leaks in Nord Stream gas pipelines likely ‘sabotage,’ European leaders say","Leaders of several Western countries have said leaks in two Russian gas pipelines are likely the result of sabotage, vowing a strong response as investigations continue.
Swedish authorities sounded the alarm on Tuesday about leaks in the Nord Stream 1 and Nord Stream 2 pipelines – both of which run under the Baltic Sea near Sweden and Denmark, and have been major flashpoints in the energy war between Europe and Russia.
Neither pipeline was in operation at the time the leaks were found, but both still contained gas under pressure....",left
13650,"Biden says Omicron variant is ""cause for concern, not a cause for panic""","President Biden on Monday urged Americans to remain calm as scientists work to determine the strength and the transmissibility of the new Omicron variant of the coronavirus, saying the U.S. has the ability to deal with the new strain that is circulating the globe.
The president, flanked by chief medical adviser Dr. Anthony Fauci and Vice President Kamala Harris, told the nation the variant is a ""cause for concern, not a cause for panic."" He said the U.S. has more tools to fight COVID-19 than ever before, and is in a much...",left
12444,Nearly $1 Billion Is Shifted From Police in Budget That Pleases No One,"New York City officials on Tuesday agreed to a grim coronavirus-era budget that will sharply curtail municipal services, impose a hiring freeze and, in a move meant to placate calls to defund the police, shift roughly $1 billion from the Police Department.
The $88.1 billion budget reflected the economic shutdown that followed the outbreak, causing a $9 billion revenue shortfall that forced the city to make drastic across-the-board spending cuts.
But the virus was not the only external factor that affected the budget.
The protests that followed the police killing...",left
18746,Richard Burr Steps Down From Chairmanship of Senate Intelligence Committee,"Sen. Richard Burr will be stepping aside as chairman of the Senate Intelligence Committee during the investigation into his stock trades, Senate Majority Leader Mitch McConnell announced Thursday.
“Senator Burr contacted me this morning to inform me of his decision,” McConnell wrote in a statement. “We agreed that this decision would be in the best interests of the committee and will be effective at the end of the day tomorrow.”
FBI agents served a search warrant to Burr at his Washington, D.C.-area home on Wednesday night as part of an...",left
9695,Surprise Gain in Jobless Claims Shows U.S. Labor Market Churn,"Applications for U.S. state unemployment insurance rose unexpectedly last week by the most since late March, underscoring week-to-week volatility in an otherwise improving labor market.
Initial jobless claims in regular state programs totaled 419,000 in the week ended July 17, up 51,000 from the prior week, Labor Department data showed Thursday. The median estimate in a Bloomberg survey of economists called for 350,000 new applications.
Continuing claims for state benefits fell to 3.24 million in the week ended July 10.
Stock futures erased gains and Treasuries advanced following the data....",left
14645,"On Super Tuesday eve, Donald Trump gets his best poll numbers yet","On Feb. 29, 2012, Mitt Romney finally retook the lead in Real Clear Politics' average of polling of the Republican nomination contest that year for the final time. Months of ups and downs, and -- four years ago Monday -- Romney finally had a clear path to the nomination. In the 2004 Democratic and 2008 Democratic and Republican contests as well, the person leading on Feb. 29 in the polling average went on to win his party's nomination.",left
13863,John Boehner's Fiscal Cliff Approach Unpopular With Voters,"Voters are not impressed by House Speaker John Boehner's handling of ""fiscal cliff"" negotiations, according to a new Washington Post-ABC News poll.",left
17718,Republicans Look to Slash the Size of Biden’s Infrastructure Plan,"Working to avoid being cut out of the process, they presented a $568 billion blueprint that is a fraction of the size of President Biden’s proposal.
Senate Republicans on Thursday offered a $568 billion counterproposal to President Biden’s $2.3 trillion infrastructure plan, laying out a marker they hoped would kick-start bipartisan negotiations to vastly scale back the president’s plan and do away with the corporate tax increases he is eyeing to pay for it.
But while the White House welcomed the outline as a positive step, there was little sign...",left
19725,Can Trump Break Away Today,The two presidential front-runners are both eyeing Super Tuesday 2 as a chance to build on their momentum and pad their leads as they look to put the races away by the end of the month.,left
21490,"Trump Begrudgingly Signs COVID-19 Relief Bill, Government Spending, Averting Shutdown","After throwing the bill into doubt earlier this week, President Donald Trump caved Sunday night and signed the coronavirus relief and federal spending measure, averting a government shutdown and ensuring millions of unemployed Americans get some relief going into the new year.
It was an act of mercy for millions, after the president suddenly indicated Tuesday night that he wouldn’t support the bill. Trump said he wanted to increase direct stimulus payments from $600 to $2,000 ― as well as eliminate a number of foreign aid provisions that were included...",left
20268,Iran says it has captured a British oil tanker,"Iran has also seized a second tanker, the Liberian-flagged MV Mesdar, according to a US official. Two more US officials tell CNN that, according to maritime intelligence reports, the indication is the Mesdar has been seized.
Iran's Islamic Revolutionary Guard Corps announced earlier that its navy has captured a British-flagged tanker ‘Stena Impero’ in the Strait of Hormuz.
The order of seizure of the two ships isn’t clear at this time.",left
10152,"Pelosi, McCarthy, McConnell, and Schumer all say they're open to a congressional stock-trade ban. But details could derail this rare bipartisanship.","Democratic House Speaker Nancy Pelosi recently called her top Republican counterpart Kevin McCarthy a ""moron,"" while McCarthy joked — maybe? — that he'd hit Pelosi with a gavel.
Republican Senate Minority Leader Mitch McConnell, meanwhile, has accused his Democratic peer, the Majority Leader Chuck Schumer, of ""angry incompetence"" either belying weakness or a tendency to bully. Schumer has chided McConnell as a Vladimir Putin toady who's personally responsible for, in his estimation, almost pushing Americans over a cliff to financial ruin.",left
4280,Bill Gates thinks Americans' lives have to change to save the world. Here's where to start.,"Bill Gates doesn't expect everyone to stop eating beef to fight climate change — though it would help. So the billionaire philanthropist is investing in plant-based alternatives in hopes that one day meat-eaters won't be able to tell the difference.
Gates, who has invested in plant-based Impossible Foods and Beyond Meat, acknowledged that it will be an uphill battle convincing meat-eaters to forgo beef, but said that the quality of meat imitations are getting better as demand grows. Some restaurants, such as Burger King, are already selling versions of...",left
6551,Fact-checking Donald Trump’s immigration speech,Donald Trump gave his long-awaited speech on immigration in Phoenix on Aug. 31. Here’s a roundup of some of the more interesting claims he made in the lengthy address; we expect we will dig deeper into some of his other statistics in the coming days.,left
8780,"At tense Virginia rally, demonstrators reject extremists, defend law-abiding gun owners","RICHMOND, Va. ─ Thousands of gun-rights activists, banned from carrying their weapons out of fear of violence, crammed into the Virginia Capitol on Monday to urge state lawmakers to reject sweeping measures to limit the spread of firearms.
The rally, planned for weeks as part of a citizen-lobbying tradition held on Martin Luther King Jr. Day, has focused national attention on Virginia's attempts to enact new gun regulations, pushed by Democrats who took control of the Statehouse for the first time in 26 years. Gun control supporters say they are...",left
15691,"White House, Navy exchanged emails about keeping USS McCain out of Trump's sight","President Donald Trump and John McCain's long-running feud is back in the spotlight following reports that White House and lower-level US Navy officials traded emails about keeping a warship named from the late senator's father and grandfather out of sight ahead of the President's trip to Japan.
Two Navy officials confirmed to CNN Wednesday night that the White House Military Office asked lower-level US Navy officials about keeping the ship out of view. One of the Navy officials further clarified Thursday morning that the discussion included obscuring the ship or...",left
18109,"Kavanaugh Accuser Christine Blasey Ford Will Testify To Senate Panel, Lawyers Say","Christine Blasey Ford, the woman who has accused Supreme Court nominee Judge Brett Kavanaugh of sexual assaulting her in high school, has agreed to testify before the Senate Judiciary Committee, her attorneys said Saturday.",left
11885,"OPINION: After baseball attack, the hate in politics has got to go","Shortly after Wednesday morning's attack on Republican members of Congress practicing for the annual Congressional Baseball Game, Congressman Rodney Davis, still in his baseball clothes, spoke to CNN's Brianna Keilar.",left
13510,Texas Governor Rick Perry indicted for abuse of power,"A grand jury indicted Texas Gov. Rick Perry on Friday on two felony counts: abuse of official capacity and coercion of a public official. The charges are linked to his push for Travis County District Attorney Rosemary Lehmberg, a Democrat, to resign after she was arrested for drunk driving last year.
The case focused on Perry's threat to veto funding to Lehmberg's office unless she resigned. Perry eventually made good on that threat, vetoing $7.5 million that would have gone to the Public Integrity Unit in Lehmberg's office, the Dallas...",left
1765,"Biden, Putin discuss Ukraine in video call amid growing tensions","President Biden and Russian President Vladimir Putin held a video call Tuesday morning focused on growing tensions over Ukraine as Russia masses troops along the border, prompting fears of a Russian invasion of the Eastern European nation.
The call began with the two leaders exchanging brief pleasantries.
“Welcome, Mr. President,” Putin said.
“Good to see you again,” Biden replied. “Last time we did not get to see each other at the G-20. I hope next time we can meet in person,” he said, referring to the recent Group of 20...",left
13400,President Obama taking gun violence plan on the road,"President Obama is taking his first trip outside Washington to promote his far-reaching plan to curb the nations gun violence, jetting to Minneapolis on Monday to discuss his ideas with local law enforcement leaders.",left
3559,Ruling By Senate Parliamentarian Opens Up Potential Pathway For Democrats,"A new decision from the U.S. Senate's nonpartisan parliamentarian means Democrats could advance more of President Biden's agenda without the support of Republicans.
The official's interpretation of Senate budget rules would allow the use of the reconciliation process more than once in a fiscal year, and it is viewed by Democrats as a possible strategy for moving top policy priorities with a simple majority, since getting the needed 10 Republican votes in a 50-50 Senate has proved difficult.
Details are still unclear as to how Democratic leaders might use the...",left
19318,Sen. Romney: This was 'an insurrection incited by the President',"Senator Mitt Romney (R-UT) called the riots at the US Capitol ""an insurrection incited by the President of the United States,"" while addressing his colleagues at a ceremonial counting of electoral votes that will confirm President-elect Biden's win.",left
11086,Cantor's demise brings huge lesson: Here's why the Tea Party is so coddle',The GOP pays attention to its base because it votes in primaries. The Democratic base is ignored because it doesn't.,left
11632,Paul Wins CPAC Straw Poll,Sen. Rand Paul (R-Ky.) won the Conservative Political Action Conference straw poll on Saturday marking an early indicator of conservative support ahead of the next presidential election in 2016.,left
8530,A record number of children are hospitalized with COVID-19,"A record number of children in the US are hospitalized with COVID-19, according to the latest data from the Centers for Disease Control and Prevention. 
The US averaged 672 new hospital admissions per day for the 0-17 age group in the week of December 27 and January 2, shattering the previous record of around 340 admissions per day during a period in early September 2021.
Children, however, are the least likely age bracket to get hospitalized by the virus, according to the data.  
The 0-17 age group has seen a rate...",left
3990,Libertarians hope rallies and ads can nudge them into the presidential debates,"On Friday morning, the third day in his four-day New England campaign swing, Libertarian presidential nominee Gary Johnson told a joke. He was the punch line.
“This is a crazy election,” Johnson said, looking out at dozens of Mainers who had come out for a breakfast meet-and-greet. “You know how crazy this election is? I’m going to be the next president of the United States. That’s how crazy!”",left
11198,Paul Ryan seeks comfort of Ron Paul fans,"Paul Ryan said Monday he expects Ron Paul supporters will come around to the Republican ticket and “should be very comfortable with us.
Ryan told Fox News that he and Paul “see eye to eye on a lot of issues, adding that he doesnt feel there is any tension with Paul Ã¢â‚¬â€ who held his own rally in Tampa on Sunday and did not endorse Romney Ã¢â‚¬â€ or the Texas congressmans supporters.
Read more:
http://www.politico.com/news/stories/0812/80215.html#ixzz24mhLX2W2",left
3811,San Francisco declares NRA a 'domestic terrorist organization' in resolution,"The San Francisco Board of Supervisors passed a resolution Tuesday that declares the National Rifle Association a ""domestic terrorist organization.""
After connecting the NRA to an ""epidemic of gun violence"" in the U.S., the resolution urges San Francisco to distance itself from the organization by examining local vendors' and contractors' ties to the NRA. It also says the local government should avoid doing business with the NRA or organizations associated with it.
""The National Rifle Association spreads propaganda that misinforms and aims to deceive the public about the dangers of...",left
16729,Obama: Those Like Slain U.S. Ambassador Must Determine World's Future,"Using the example set by the life of slain U.S. Ambassador to Libya Chris Stevens, President Obama this morning told delegates to the United Nations that the diplomat's killers will not determine the world's future. Instead, Obama said, it will be people such as Stevens who build ""bridges across oceans and cultures"" and set the world's agenda.
We updated as the president spoke. Scroll down to read through the highlights.",left
366,"US expands Pfizer COVID boosters, opens extra dose to age 16","U.S. health authorities again expanded the nation’s booster campaign Thursday, opening extra doses of Pfizer’s COVID-19 vaccine to several million 16- and 17-year-olds.
The U.S. and many other nations already were urging adults to get booster shots to pump up immunity that can wane months after vaccination, calls that intensified with the discovery of the worrisome new omicron variant.
On Thursday, the Food and Drug Administration gave emergency authorization for 16- and 17-year-olds to get a third dose of the vaccine made by Pfizer and its partner BioNTech — once they’re...",left
18276,'Cordial' shutdown talks under way in Senate,"Congressional negotiators had no agreements to report Saturday, but they issued positive reports on their talks to end a partial government shutdown and avert a default on government debt.
""Cordial"" was the word Senate Majority Leader Harry Reid, D-Nevada, used to describe his ""preliminary"" discussions with Senate Republican Leader Mitch McConnell of Kentucky.
""Good"" discussions were going on among Senate leaders, said Sen. Bob Corker, R-Tennessee, ""so I think all of us want to support those efforts, and hopefully they bear fruit over the weekend.""
Supporters stand...",left
20700,Britain Votes to Leave E.U.; Cameron Plans to Step Down,"Britain has voted to leave the European Union, a historic decision sure to reshape the nation’s place in the world, rattle the Continent and rock political establishments throughout the West.",left
20878,Hagel bruised but still standing,"After a contentious confirmation process, Chuck Hagel's rocky and inauspicious path to the Pentagon could haunt him if he doesn't watch his step.",left
18326,Mike Pompeo says free world must change China or 'China will change us',"US secretary of state Mike Pompeo has called on “free nations” to triumph over the threat of what he said was a “new tyranny” from China, in a provocative speech likely to worsen fraught US-China relations.
“Today China is increasingly authoritarian at home, and more aggressive in its hostility to freedom everywhere else,” Pompeo said in a speech on Thursday at the Richard Nixon presidential library in Yorba Linda, California.
“If the free world doesn’t change Communist China, Communist China will change us,” he said, Pompeo said Nixon’s worry about...",left
21257,"More missiles, drones strike Ukraine, alarms keep up fear","Russian forces strafed Ukraine with a fresh barrage of missiles and munition-carrying drones Tuesday, a day after widespread strikes killed at least 19 people in what the U.N. human rights office described as a “particularly shocking” attack that could amount to war crimes.
Air raid warnings extended throughout the country in the morning, sending some residents back into shelters after months of relative calm in Kyiv and many other cities. The earlier lull had led many Ukrainians to ignore the regular sirens, but Monday’s attacks in the capital and 12 other regions gave...",left
15656,Trump to sign executive order to compel disclosure of health-care prices,"President Trump signed an executive order on Monday intended to give Americans more information about the cost and quality of health-care services to help them comparison shop before they get care.
The order is pegged to the gathering momentum of the 2020 election in which voters are eager for political leaders to lower what they pay for care. It is based on the idea, in fashion lately with both Republicans and Democrats, that greater transparency in hospital and other health-care prices will lead consumers to make better choices about where...",left
2576,Why the U.S. has the most mass shootings,"When a gunman opened fire Wednesday on two Virginia journalists and the woman they were interviewing on live TV, he was influenced by a long history of public mass killings throughout the country. Shooter Vester Lee Flanagan II said",left
14454,New York enacts new gun restrictions in response to supreme court decision,"After a federal judge said New York could implement gun restrictions passed after the US supreme court struck down a century-old law, the state attorney general saluted “a victory in our efforts to protect New Yorkers”.
“Responsible gun control measures save lives and any attempts by the gun lobby to tear down New York’s sensible gun control laws will be met with fierce defense of the law,” Letitia James said on Wednesday night.
In June, in the aftermath of mass shootings at an elementary school in Uvalde, Texas and a...",left
4401,Hillary's No Slam Dunk in 2016,Could Hillary Clinton be the next Richard Nixon?,left
13442,"No timetable for withdrawal of troops after US, Iraq talks","The mission of U.S. forces in Iraq has shifted to training and advisory roles, allowing for redeployment of combat forces remaining in the country, U.S. and Iraq delegates said Wednesday, after a third round of strategic U.S.-Iraq talks.
Statements issued by both sides, however, said the timing of such a redeployment would be determined in upcoming technical talks, without specifying when they would take place. They also stressed the need for continued security cooperation.
The talks — held virtually because of the pandemic — began in June under the Trump...",left
16809,Kentucky outcome embarrasses Trump and worries many Republicans ahead of 2020,"Democrats’ claim of victory Tuesday in Kentucky’s gubernatorial race, as well as the Democratic takeover of the Virginia state legislature, left Republicans stumbling and increasingly uncertain about their own political fates next year tied to an embattled and unpopular president.
Many allies of President Trump rushed to explain away the poor performance of incumbent Kentucky Gov. Matt Bevin (R) as an anomaly, while other GOP veterans expressed alarm about the party’s failure in a state where Trump won by nearly 30 percentage points in 2016 — and where he just...",left
